systematic,gene,length,RNA_Prints
YEL020C,YEL020C,1683,2432.027076
YEL053W-A,YEL053W-A,348,7353.845409
YEL019C,MMS21,804,553.2877054
YEL030C-A,YEL030C-A,315,20.20241732
YEL020C-B,YEL020C-B,198,330.2471771
YEL061C,CIN8,3003,4301.930986
YEL051W,VMA8,771,21348.61418
YEL028W,YEL028W,462,354.0114329
YEL029C,BUD16,939,3585.718451
YEL045C,YEL045C,426,1347.730015
YEL059W,HHY1,309,25.4093895
YEL075C,YEL075C,369,556.9043905
YEL035C,UTR5,501,18.09910186
YEL069C,HXT13,1695,29.30319308
YEL023C,YEL023C,2049,1611.924688
YEL033W,MTC7,420,39173.75994
YEL077W-A,YEL077W-A,483,153.8829019
YEL015W,EDC3,1656,8372.277029
YEL040W,UTR2,1404,33463.57913
YEL064C,AVT2,1443,1873.767247
YEL032C-A,YEL032C-A,162,36.37519485
YEL072W,RMD6,696,1297.702007
YEL071W,DLD3,1491,45388.53316
YEL034W,HYP2,474,91870.72133
YEL013W,VAC8,1737,11297.40398
YEL022W,GEA2,4380,10973.45644
YEL073C,YEL073C,324,816.828099
YEL063C,CAN1,1773,5738.303939
YEL076C-A,YEL076C-A,651,234.5804832
YEL053C,MAK10,2202,3943.125202
YEL065W,SIT1,1887,11244.10896
YEL043W,YEL043W,2871,5347.728016
YEL055C,POL5,3069,12500.61136
YEL075W-A,YEL075W-A,612,246.8169652
YEL031W,SPF1,3648,27299.79977
YEL049W,PAU2,363,32.38373128
YEL017C-A,PMP2,132,29799.40026
YEL066W,HPA3,540,2769.083885
YEL046C,GLY1,1164,24029.37366
YEL038W,UTR4,684,5326.44308
YEL017W,GTT3,1014,4006.658404
YEL026W,SNU13,381,24405.99259
YEL070W,DSF1,1509,78.43800133
YEL018C-A,YEL018C-A,534,126.1125548
YEL048C,TCA17,459,2672.673849
YEL052W,AFG1,1530,4815.029551
YEL032W,MCM3,2916,7843.968004
YEL041W,YEF1,1488,795.8278369
YEL050W-A,YEL050W-A,192,102.8042733
YEL039C,CYC7,342,1038.704137
YEL014C,YEL014C,306,67.79114988
YEL025C,YEL025C,3567,5020.475574
YEL057C,YEL057C,702,234.0687323
YEL027W,VMA3,483,54447.15717
YEL060C,PRB1,1908,8324.922846
YEL067C,YEL067C,588,206.729778
YEL076C,YEL076C,651,193.5689015
YEL044W,IES6,501,5370.70604
YEL068C,YEL068C,333,1193.990427
YEL036C,ANP1,1503,7621.109235
YEL054C,RPL12A,498,67149.35741
YEL034C-A,YEL034C-A,603,19212.05133
YEL030W,ECM10,1935,1405.309218
YEL047C,FRD1,1413,11050.55484
YEL077C,YEL077C,3834,2611.875152
YEL024W,RIP1,648,5963.804118
YEL020W-A,TIM9,264,10025.64155
YEL037C,RAD23,1197,11327.07408
YEL016C,NPP2,1482,3220.126582
YER033C,ZRG8,3231,1739.241311
YER053C,PIC2,903,3204.00626
YER014W,HEM14,1620,3209.619132
YER043C,SAH1,1350,63728.14721
YER022W,SRB4,2064,4652.084168
YER002W,NOP16,696,7701.596553
YEL003W,GIM4,336,7739.071828
YER044C-A,MEI4,1227,243.1815383
YER006C-A,YER006C-A,318,66.30204158
YEL005C,VAB2,849,1530.657072
YER042W,MXR1,555,3977.579307
YER030W,CHZ1,462,6564.89369
YER001W,MNN1,2289,9680.29921
YER038C,KRE29,1395,1446.41738
YEL010W,YEL010W,351,8.96901379
YEL002C,WBP1,1293,14079.92681
YER023C-A,YER023C-A,213,399.696056
YER039C-A,YER039C-A,219,279.233523
YER051W,JHD1,1479,2392.736604
YER004W,FMP52,696,6141.690795
YER028C,MIG3,1185,1609.212082
YER045C,ACA1,1470,1742.999158
YER020W,GPA2,1350,4253.901382
YEL012W,UBC8,657,1889.388447
YEL008C-A,YEL008C-A,93,90.62746294
YER012W,PRE1,597,9162.20828
YEL008W,YEL008W,381,43.2847958
YER019W,ISC1,1434,5006.752004
YEL001C,IRC22,678,11907.15879
YER044C,ERG28,447,8875.44464
YER023W,PRO3,861,18549.60159
YER052C,HOM3,1584,11711.5269
YER003C,PMI40,1290,15213.8682
YER025W,GCD11,1584,23470.09472
YER013W,PRP22,3438,3881.626747
YER032W,FIR1,2631,2840.962669
YER037W,PHM8,966,2370.550768
YER053C-A,YER053C-A,114,8752.969127
YER006W,NUG1,1563,14955.74765
YER026C,CHO1,831,14619.15661
YER047C,SAP1,2694,2683.019082
YER010C,YER010C,705,3450.950419
YER007C-A,TMA20,546,7992.66756
YEL007W,MIT1,2001,6057.645752
YER029C,SMB1,591,3280.940878
YER005W,YND1,1893,5005.208908
YER021W,RPN3,1572,16977.22867
YER048W-A,ISD11,285,6462.265042
YEL009C,GCN4,846,52093.62742
YER046W,SPO73,432,1462.644266
YER011W,TIR1,765,2550.299416
YER034W,YER034W,558,1657.730907
YEL006W,YEA6,1008,4313.4505
YER046W-A,YER046W-A,330,62.38950461
YER050C,RSM18,417,4733.745266
YER018C,SPC25,666,2319.66668
YER031C,YPT31,672,9026.184761
YER016W,BIM1,1035,5021.041759
YEL004W,YEA4,1029,1203.030029
YEL009C-A,YEL009C-A,408,44.66740041
YER039C,HVG1,750,543.0234295
YER024W,YAT2,2772,2310.241081
YER041W,YEN1,2280,2478.132737
YER009W,NTF2,378,31614.68809
YER035W,EDC2,438,2607.128084
YEL011W,GLC3,2115,2853.104971
YER019C-A,SBH2,267,18095.10683
YER049W,TPA1,1935,15733.27479
YER008C,SEC3,4011,6469.265953
YER015W,FAA2,2235,1393.534441
YER007W,PAC2,1557,1901.556516
YER027C,GAL83,1254,5021.977011
YER017C,AFG3,2286,5931.06613
YER036C,ARB1,1833,33096.24119
YER038W-A,YER038W-A,381,88.87475688
YER040W,GLN3,2193,2790.773906
YER048C,CAJ1,1176,9693.837684
YER014C-A,BUD25,462,73.28583558
YER063W,THO1,657,6213.64011
YER091C-A,YER091C-A,222,21.51301655
YER100W,UBC6,753,5746.44423
YER110C,KAP123,3342,37328.7288
YER082C,UTP7,1665,8216.117455
YER109C,YER109C_CDS,2400,2733.715617
YER107W-A,YER107W-A,321,143.1594529
YER094C,PUP3,618,13742.16822
YER092W,IES5,378,4223.5529
YER101C,AST2,1293,1687.294598
YER078C,ICP55,1536,3189.181662
YER062C,GPP2,753,5796.134976
YER095W,RAD51,1203,4960.883575
YER090C-A,YER090C-A,90,72.72474722
YER098W,UBP9,2265,1571.063547
YER081W,SER3,1410,6750.32145
YER070W,RNR1,2667,26753.32498
YER079C-A,YER079C-A,339,70.69945007
YER113C,TMN3,2121,4734.715736
YER111C,SWI4,3282,4303.193659
YER069W,ARG5%2C6,2592,8052.436163
YER077C,YER077C,2067,3179.00396
YER074W,RPS24A,408,61446.58843
YER061C,CEM1,1329,2825.27023
YER059W,PCL6,1263,3036.897772
YER087C-A,YER087C-A,552,161.0014093
YER084W,YER084W,387,55.19173436
YER086W,ILV1,1731,15027.05174
YER060W,FCY21,1587,2406.895929
YER068C-A,YER068C-A,432,64.53551806
YER056C-A,RPL34A,366,46290.35162
YER088C-A,YER088C-A,324,1027.934739
YER103W,SSA4,1929,3740.579686
YER078W-A,YER078W-A,165,67.93340443
YER076W-A,YER076W-A,348,92.05202983
YER058W,PET117,324,1362.301009
YER072W,VTC1,390,27633.42884
YER057C,HMF1,390,9505.65801
YER068W,MOT2,1764,4686.621768
YER088C,DOT6,2013,7283.156161
YER093C-A,AIM11,414,877.7583138
YER090W,TRP2,1524,12456.62331
YER104W,RTT105,627,1335.033314
YER084W-A,YER084W-A,513,8.713402465
YER067W,RGI1,486,3047.905285
YER105C,NUP157,4176,12047.64056
YER067C-A,YER067C-A,324,85.31357654
YER093C,TSC11,4293,4211.355848
YER073W,ALD5,1563,17511.47335
YER091C,MET6,2304,62282.93755
YER079W,YER079W,633,1639.646237
YER085C,YER085C,522,68.95282723
YER066W,RRT13,558,880.9156205
YER099C,PRS2,957,5577.50419
YER055C,HIS1,894,43569.76806
YER088W-B,YER088W-B,147,69.84402961
YER106W,MAM1,909,120.7778615
YER083C,GET2,858,5263.220239
YER102W,RPS8B,603,47890.10025
YER071C,TDA2,381,2473.480035
YER080W,AIM9,1884,7129.540899
YER075C,PTP3,2787,3233.667499
YER066C-A,YER066C-A,501,68.96158399
YER056C,FCY2,1602,24364.52582
YER087W,AIM10,1731,2883.53625
YER107C,GLE2,1098,5756.234226
YER112W,LSM4,564,5358.308785
YER076C,YER076C,909,1455.143871
YER087C-B,SBH1,249,8536.455103
YER097W,YER097W,330,388.7498828
YER060W-A,FCY22,1593,1057.081435
YER064C,VHR2,1518,9480.482265
YER074W-A,YOS1,258,5462.616842
YER096W,SHC1,1539,429.0819226
YER065C,ICL1,1674,1546.57406
YER089C,PTC2,1395,7769.51642
YER161C,SPT2,1002,3692.91351
YER125W,RSP5,2430,11926.94163
YER115C,SPR6,576,3402.886811
YER131W,RPS26B,360,69930.52306
YER152C,YER152C,1332,6660.439746
YER148W,SPT15,723,10886.3691
YER148W-A,YER148W-A,579,274.1328144
YER164W,CHD1,4407,8167.906104
YER140W,EMP65,1671,2929.14073
YER149C,PEA2,1263,3348.757295
YER130C,COM2,1332,5131.409806
YER159C-A,YER159C-A_CDS,1323,9279.066353
YER137C,YER137C,447,844.5438072
YER165W,PAB1,1734,49369.00286
YER152W-A,YER152W-A,567,133.933262
YER133W,GLC7,939,20568.83516
YER162C,RAD4,2265,2014.137946
YER150W,SPI1,447,1390.731498
YER137C-A,YER137C-A_CDS,1323,11649.77129
YER123W,YCK3,1575,3690.235524
YER142C,MAG1,891,1477.022313
YER165C-A,YER165C-A,357,62.52321967
YER121W,YER121W,345,215.6061784
YER126C,NSA2,786,9900.034
YER119C-A,YER119C-A,372,289.3250489
YER144C,UBP5,2418,3127.171935
YER163C,GCG1,699,3243.029283
YER143W,DDI1,1287,4058.823429
YER132C,PMD1,5262,5567.028363
YER157W,COG3,2406,5585.002934
YER153C,PET122,765,1412.626957
YER167W,BCK2,2556,4880.469527
YER147C-A,YER147C-A,411,659.8527574
YER141W,COX15,1461,7657.729531
YER128W,VFA1,612,1300.542345
YER119C,AVT6,1347,3062.7515
YER159C,BUR6,429,4632.595064
YER160C,YER160C_CDS,5268,35070.64186
YER135C,YER135C,393,22.14327382
YER124C,DSE1,1722,19412.73494
YER156C,YER156C,1017,10772.97192
YER155C,BEM2,6504,21413.49334
YER133W-A,YER133W-A,342,146.2014591
YER118C,SHO1,1104,4749.369564
YER122C,GLO3,1482,13590.36201
YER134C,YER134C,537,2886.165494
YER158W-A,YER158W-A,216,145.0001755
YER145C,FTR1,1215,18564.7098
YER158C,YER158C,1722,1566.567822
YER129W,SAK1,3429,6342.883378
YER151C,UBP3,2739,7431.227445
YER138W-A,YER138W-A,105,4313.738247
YER166W,DNF1,4716,10993.93477
YER117W,RPL23B,414,97428.13257
YER127W,LCP5,1074,7196.210721
YER146W,LSM5,282,8569.567973
YER138C,YER138C_CDS,5268,63396.11979
YER154W,OXA1,1209,4817.557141
YER168C,CCA1,1641,5598.840095
YER120W,SCS2,735,16515.82337
YER137W-A,YER137W-A,306,54.57306646
YER136W,GDI1,1356,11337.47126
YER116C,SLX8,825,1646.67467
YER147C,SCC4,1875,2927.513277
YER145C-A,YER145C-A,438,502.4856971
YER139C,RTR1,681,1852.343493
YER186C,YER186C,921,3365.998245
YER172C,BRR2,6492,11102.9561
YER189W,YER189W,369,142.069517
YER178W,PDA1,1263,35060.61671
YER171W,RAD3,2337,6344.012135
YER187W,YER187W,426,416.2496459
YER190W,YRF1-2,5046,2432.926715
YER188C-A,YER188C-A,300,16.5009022
YER183C,FAU1,636,4132.164183
YER180C,ISC10,804,2340.006474
YER175C,TMT1,900,1988.604138
YER190C-B,YER190C-B,483,151.3731513
YER170W,ADK2,678,1841.469336
YER182W,FMP10,735,2328.040131
YER176W,ECM32,3366,6028.485976
YER181C,YER181C,324,31.96291448
YER180C-A,SLO1,258,43894.14236
YER172C-A,YER172C-A,381,30.70346944
YER190C-A,YER190C-A,576,183.5704559
YER188W,YER188W,720,497.2225414
YER184C,TOG1,2385,1502.351327
YER179W,DMC1,1005,194.7579557
YER174C,GRX4,735,4387.512075
YER185W,PUG1,912,253.5565991
YER177W,BMH1,804,76213.56426
YER175W-A,YER175W-A,165,87.49621043
YER173W,RAD24,1980,2706.438603
YJL091C,GWT1,1473,4122.214761
YJR125C,ENT3,1227,6814.184238
YJL026C-A,YJL026C-A,222,234.0054814
YJL026W,RNR2,1200,25745.72599
YJL155C,FBP26,1359,2656.428517
YJL185C,ATG36,882,918.5889401
YJL204C,RCY1,2523,3026.167619
YJL212C,OPT1,2400,6128.496122
YJL168C,SET2,2202,6010.23229
YJL192C,SOP4,705,9953.463319
YJL179W,PFD1,330,5561.362818
YJL219W,HXT9,1704,46.09206266
YJL165C,HAL5,2568,6759.140851
YJL206C,YJL206C,2277,1750.956771
YJL222W,VTH2,4650,1641.261396
YJL181W,YJL181W,1836,2363.203626
YJL195C,YJL195C,702,93.4237037
YJL161W,FMP33,543,640.6988123
YJL159W,HSP150,1242,55093.58446
YJL166W,QCR8,285,9667.217922
YJL200C,ACO2,2370,13612.08796
YJL172W,CPS1,1731,9944.486043
YJL209W,CBP1,1965,3077.145778
YJL225C,YJL225C,5277,3199.399282
YJL188C,BUD19,309,11848.31852
YJL217W,REE1,597,9416.198183
YJL207C,LAA1,6045,11191.06393
YJL171C,YJL171C,1191,7891.145703
YJL191W,RPS14B,417,20448.27862
YJL178C,ATG27,816,7508.329171
YJL162C,JJJ2,1752,2244.084112
YJL176C,SWI3,2478,5793.969822
YJL221C,IMA4,1770,504.8718717
YJL225W-A,YJL225W-A,483,114.3283234
YJL214W,HXT8,1710,314.5274247
YJL174W,KRE9,831,8459.353564
YJL186W,MNN5,1761,9680.701894
YJL203W,PRP21,843,2014.290118
YJL213W,YJL213W,996,3819.056995
YJL175W,YJL175W,513,41.74691582
YJL189W,RPL39,156,115927.7691
YJL208C,NUC1,990,4148.846959
YJL210W,PEX2,816,3100.769554
YJL194W,CDC6,1542,2611.533802
YJL158C,CIS3,684,33177.2337
YJL167W,ERG20,1059,27999.21748
YJL169W,YJL169W,369,144.0645076
YJL182C,YJL182C,318,14.24601669
YJL222W-A,YJL222W-A,228,1.939162939
YJL222W-B,YJL222W-B,138,1.724989849
YJL220W,YJL220W,453,2.309201298
YJL199C,MBB1,327,388.3911929
YJL197W,UBP12,3765,6710.945589
YJL202C,YJL202C,348,68.80150056
YJL187C,SWE1,2460,3891.509288
YJL201W,ECM25,1800,4417.603957
YJL170C,ASG7,630,775.7338886
YJL190C,RPS22A,393,138242.1182
YJL163C,YJL163C,1668,1252.252742
YJL215C,YJL215C,360,105.4445842
YJL193W,YJL193W,1209,3115.144498
YJL218W,YJL218W,591,857.5908137
YJL164C,TPK1,1194,2256.224477
YJL197C-A,YJL197C-A,282,30.57465815
YJL183W,MNN11,1269,9931.483995
YJL156C,SSY5,2100,3673.841026
YJL184W,GON7,372,4076.431683
YJL205C,NCE101,162,1092.20618
YJL211C,YJL211C,444,129.494138
YJL173C,RFA3,369,4782.607974
YJL198W,PHO90,2646,9193.301335
YJL223C,PAU1,363,38.3670254
YJL216C,IMA5,1746,770.1027403
YJL160C,YJL160C,864,198.2464828
YJL196C,ELO1,933,12055.92606
YJL180C,ATP12,978,3086.269043
YJL177W,RPL17B,555,47021.25954
YJL157C,FAR1,2493,8370.496674
YJL156W-A,YJL156W-A,222,68.30067015
YJL122W,ALB1,528,7167.599346
YJL149W,DAS1,1992,2651.705521
YJL142C,IRC9,393,724.1129463
YJL131C,AIM23,1071,2191.747912
YJL125C,GCD14,1152,5033.342812
YJL113W,YJL113W_CDS,4647,731.18127
YJL103C,GSM1,1857,863.1439625
YJL134W,LCB3,1230,5913.758381
YJL126W,NIT2,924,2418.107742
YJL150W,YJL150W,303,215.100172
YJL104W,PAM16,450,5735.905176
YJL129C,TRK1,3708,7028.63922
YJL136W-A,YJL136W-A,84,13.6177595
YJL092W,SRS2,3525,4106.059577
YJL146W,IDS2,1410,2672.352218
YJL095W,BCK1,4437,3802.12091
YJL130C,URA2,6645,86624.80237
YJL100W,LSB6,1824,2356.951439
YJL116C,NCA3,1014,503.275815
YJL139C,YUR1,1287,2399.941493
YJL127W-A,YJL127W-A,117,30.81667722
YJL109C,UTP10,5310,26921.97127
YJL096W,MRPL49,486,3681.027187
YJL154C,VPS35,2835,8262.513216
YJL123C,MTC1,1437,11357.21317
YJL143W,TIM17,477,8016.534514
YJL153C,INO1,1602,4506.031547
YJL119C,YJL119C,324,206.3648932
YJL105W,SET4,1683,226.7488035
YJL112W,MDV1,2145,5194.041654
YJL147C,YJL147C,1149,1660.583455
YJL140W,RPB4,666,10501.46362
YJL137C,GLG2,1143,1728.094403
YJL127C,SPT10,1923,2259.796486
YJL127C-B,YJL127C-B,159,3816.495918
YJL098W,SAP185,3177,7486.727779
YJL101C,GSH1,2037,7041.443756
YJL115W,ASF1,840,3396.923443
YJL138C,TIF2,1188,20953.14925
YJL093C,TOK1,2076,3835.989346
YJL120W,YJL120W,324,159.0452606
YJL152W,YJL152W,360,403.0324505
YJL144W,YJL144W,315,532.889051
YJL133W,MRS3,945,3789.745128
YJL111W,CCT7,1653,19947.70763
YJL097W,PHS1,654,6299.831163
YJL136C,RPS21B,264,66664.30142
YJL124C,LSM1,519,6421.928669
YJL118W,YJL118W,660,1076.715849
YJL106W,IME2,1938,1165.233115
YJL148W,RPA34,702,11917.92283
YJL133C-A,YJL133C-A,225,5673.895025
YJL141C,YAK1,2424,4824.840492
YJL132W,YJL132W,2253,1746.851971
YJL128C,PBS2,2007,5351.319862
YJL114W,YJL114W_CDS,681,1532.799557
YJL107C,YJL107C,1164,849.8987823
YJL099W,CHS6,2241,3135.422515
YJL102W,MEF2,2460,1772.537137
YJL094C,KHA1,2622,4243.594856
YJL121C,RPE1,717,10368.65687
YJL135W,YJL135W,318,265.5706798
YJL145W,SFH5,885,7822.171152
YJL151C,SNA3,402,9416.090325
YJL117W,PHO86,936,11549.46478
YJL108C,PRM10,1152,929.7003897
YJL110C,GZF3,1656,4110.446328
YJL082W,IML2,2196,3368.874503
YJL077C,ICS3,396,208.9690577
YJL070C,YJL070C,2667,2198.873185
YJL077W-B,YJL077W-B,99,185.5067267
YJL053W,PEP8,1140,3760.436313
YJL031C,BET4,984,3648.949125
YJL085W,EXO70,1872,3445.836609
YJL062W-A,COA3,258,3596.618599
YJL062W,LAS21,2493,4378.799554
YJL074C,SMC3,3693,5403.207751
YJL088W,ARG3,1017,3126.035874
YJL044C,GYP6,1377,5345.527111
YJL028W,YJL028W,336,8.184979342
YJL036W,SNX4,1272,3436.282239
YJL081C,ARP4,1470,6504.369452
YJL071W,ARG2,1725,2995.064191
YJL054W,TIM54,1437,5834.606849
YJL032W,YJL032W,315,150.8323247
YJL084C,ALY2,3141,3289.469258
YJL051W,IRC8,2469,3152.028413
YJL050W,MTR4,3222,17105.88288
YJL061W,NUP82,2142,6611.320218
YJL075C,APQ13,417,230.7009808
YJL043W,YJL043W,774,115.2791555
YJL077W-A,YJL077W-A,87,419.2175668
YJL080C,SCP160,3669,32651.88357
YJL052C-A,YJL052C-A,120,2.837972629
YJL049W,YJL049W,1353,3079.188586
YJL055W,YJL055W,738,9572.312604
YJL037W,IRC18,675,199.601639
YJL078C,PRY3,2646,7145.936401
YJL027C,YJL027C,417,54.41356121
YJL047C,RTT101,2529,2570.877734
YJL038C,LOH1,660,77.28438413
YJL065C,DLS1,504,3126.827351
YJL079C,PRY1,900,4910.066974
YJL072C,PSF2,642,2954.810035
YJL042W,MHP1,4197,6200.126174
YJL034W,KAR2,2049,45768.40683
YJL058C,BIT61,1632,1719.332554
YJL033W,HCA4,2313,9417.169956
YJL087C,TRL1,2484,3372.188893
YJL076W,NET1,3570,13501.3802
YJL069C,UTP18,1785,7866.328245
YJL060W,BNA3,1335,4298.312771
YJL056C,ZAP1,2643,3447.735653
YJL047C-A,YJL047C-A,135,101514.5211
YJL030W,MAD2,591,2582.493442
YJL046W,AIM22,1230,2789.675969
YJL090C,DPB11,2295,2484.880608
YJL039C,NUP192,5052,13907.17219
YJL057C,IKS1,2004,2771.14032
YJL083W,TAX4,1815,1312.174715
YJL064W,YJL064W,396,240.6191951
YJL029C,VPS53,2469,5480.560294
YJL073W,JEM1,1938,2343.605653
YJL063C,MRPL8,717,4436.488559
YJL041W,NSP1,2472,8355.789225
YJL066C,MPM1,759,2093.241641
YJL052W,TDH1,999,30701.82805
YJL048C,UBX6,1191,3395.295858
YJL086C,YJL086C,369,163.8586668
YJL068C,YJL068C,900,5197.639639
YJL067W,YJL067W,351,91.45057537
YJL045W,YJL045W,1905,231.7055255
YJL089W,SIP4,2490,202.8011261
YJL059W,YHC3,1227,2087.62183
YJL035C,TAD2,753,1979.156953
YJR023C,YJR023C,402,220.1400675
YJR028W,YJR028W_CDS,1323,12901.70891
YJR044C,VPS55,423,3361.133967
YJR011C,YJR011C,786,1740.881182
YJL003W,COX16,357,1638.914107
YJR030C,YJR030C,2238,3043.196376
YJL025W,RRN7,1545,1641.775373
YJL008C,CCT8,1707,19924.21546
YJR027W,YJR027W_CDS,5268,44712.75409
YJL010C,NOP9,2001,7981.368553
YJR040W,GEF1,2340,4627.410588
YJR015W,YJR015W,1533,7995.006723
YJR039W,YJR039W,3366,2229.675262
YJR001W,AVT1,1809,8810.362334
YJR008W,MHO1,1017,1712.216497
YJR043C,POL32,1053,2675.865038
YJR012C,YJR012C,624,1050.534779
YJR035W,RAD26,3258,2337.582322
YJL014W,CCT3,1605,18586.1585
YJR005W,APL1,2103,5385.339744
YJL006C,CTK2,972,3132.827465
YJL024C,APS3,585,50822.43418
YJR022W,LSM8,330,1588.128908
YJR036C,HUL4,2679,1265.194043
YJL011C,RPC17,486,3424.336437
YJL005W,CYR1,6081,9958.062238
YJR016C,ILV3,1758,50828.6989
YJL016W,YJL016W,1686,3410.298198
YJL002C,OST1,1431,17683.56503
YJR031C,GEA1,4227,5922.264425
YJR021C,REC107,945,1762.1888
YJL020C,BBC1,3474,8643.296836
YJR026W,YJR026W_CDS,1323,11112.85795
YJR046W,TAH11,1815,5189.689052
YJR018W,YJR018W,363,389.7390588
YJR005C-A,LSO1,282,85.52794798
YJR032W,CPR7,1182,4724.377706
YJL015C,YJL015C,285,106.8540553
YJR004C,SAG1,1953,4087.909385
YJL001W,PRE3,648,12915.79452
